stock name,price,board,volume,date,time,Period End 1,Revenue 1,P&L 1,EPS 1,Period End 2,Revenue 2,P&L 2,EPS 2,Period End 3,Revenue 3,P&L 3,EPS 3,Period End 4,Revenue 4,P&L 4,EPS 4,Financial Date,Sales,Ebitda,Ebit,Net Profit,Intangibles,Fixed Asset,Long Term Investment,Inventories,Cash,Current Liabilites,Long_debt,Provisions,Minorities,Total Shareholder Equity,Operating Margin,Return on Equity Capital,Net Profit Margin,Current Ratio,Debt to Capital at book 
PRINSIPTEK CORPORATION BHD,0.125,Main,878,06 Mar 2019,7:11 PM,31 Dec 2018,"8,579",263,0.06,30 Sep 2018,"7,256",665,0.03,30 Jun 2018,"14,645",299,0.08,31 Mar 2018,"15,626",922,0.29,30 Jun 2018,"152,083",-,-,"5,576","8,261","3,158",0,"74,629","7,510","115,856","28,847",0,0,"196,200",9.88,-,3.67,2.23,-
PLASTRADE TECHNOLOGY BHD,0.140,Ace,0,06 Mar 2019,7:11 PM,31 Dec 2018,"7,179","-5,887",-3.80,30 Sep 2018,"8,987",-727,-0.48,30 Jun 2018,"14,331",637,1.29,31 Mar 2018,"16,831",-386,-0.26,31 Dec 2017,"47,303",-,-,"-3,479",0,"9,647","7,321","10,563","7,188","14,264",0,0,0,"31,087",-6.45,-,-7.35,2,-
PRIVASIA TECHNOLOGY BERHAD,0.065,Ace,"6,236",06 Mar 2019,7:11 PM,31 Dec 2018,"14,031",-344,0.00,30 Sep 2018,"13,718",-561,-0.08,30 Jun 2018,"12,999","-2,415",-0.37,31 Mar 2018,"11,784","-1,741",-0.29,31 Dec 2017,"59,931",-,-,"-7,184","39,442","38,184",0,"1,873","12,213","33,873","15,054",0,0,"73,197",-5.96,-,-11.99,1.46,-
PROTASCO BHD,0.260,Main,"25,381",06 Mar 2019,7:11 PM,31 Dec 2018,"257,805","-41,527",-9.02,30 Sep 2018,"234,884","3,617",-0.16,30 Jun 2018,"242,183",-407,-0.19,31 Mar 2018,"157,470","1,288",-0.50,31 Dec 2017,"939,277",-,-,"28,063",36,"199,354","3,868","38,664","218,140","528,501","92,810",0,0,"421,882",9.42,-,2.99,1.42,-
PINTARAS JAYA BHD,2.260,Main,90,06 Mar 2019,7:11 PM,31 Dec 2018,"88,223","2,163",1.30,30 Sep 2018,"38,621","2,800",1.70,30 Jun 2018,"22,148","3,018",1.80,31 Mar 2018,"30,311","6,504",3.90,30 Jun 2018,"95,912",-,-,"15,518",0,"80,880","28,469","14,108","182,996","45,776",0,0,0,"324,941",21.59,-,16.18,5.86,-
PRG HOLDINGS BERHAD,0.745,Main,"3,040",06 Mar 2019,7:11 PM,31 Dec 2018,"44,203","-6,707",-1.97,30 Sep 2018,"30,580","-2,012",-0.68,30 Jun 2018,"26,619","-2,408",-0.59,31 Dec 2017,"45,369","4,454",0.28,31 Dec 2017,"192,963","22,239","18,087","4,358","1,409","44,495","6,556","189,440","42,023","185,452","19,137",0,0,"164,671",8.91,3.03,2.26,1.76,0.08
PERAK TRANSIT BERHAD,0.240,Main,"35,475",06 Mar 2019,7:11 PM,31 Dec 2018,"29,244","8,793",0.63,30 Sep 2018,"27,687","8,422",0.61,30 Jun 2018,"31,245","10,183",0.79,30 Jun 2018,"31,245","10,183",0.79,31 Dec 2017,"106,766","46,468","37,154","28,831","1,623","325,361",0,"1,060","25,850","51,112","126,643",0,0,"220,262",30.01,13.67,27,1.51,0.42
PUC BERHAD,0.095,Ace,"177,518",06 Mar 2019,7:11 PM,31 Dec 2018,"12,256","2,577",0.16,30 Sep 2018,"8,144","1,206",0.08,31 Mar 2018,"15,617",351,0.02,31 Dec 2017,"10,519","-20,048",-1.66,31 Dec 2017,"43,031",-,-,"-19,309","105,479","22,150",0,"7,967","6,737","16,643","4,744",0,0,"177,549",-42.99,-,-44.87,4.29,-
PUNCAK NIAGA HOLDINGS BHD,0.370,Main,"10,060",06 Mar 2019,7:11 PM,31 Dec 2018,"71,769","-129,467",-28.04,30 Sep 2018,"72,193","-27,126",-5.88,30 Jun 2018,"57,008","-4,960",-0.95,31 Mar 2018,"29,496","-14,497",-3.06,31 Dec 2017,"101,280",-,-,"-201,282",0,"813,400",6,"10,627","246,175","320,804","138,674",0,0,"1,570,050",-195.65,-,-198.74,2.27,-
PRICEWORTH INTERNATIONAL BHD,0.040,Main,"66,553",06 Mar 2019,7:11 PM,31 Dec 2018,"3,473","-18,503",-0.45,30 Sep 2018,"11,690","-17,935",-0.58,30 Jun 2018,"42,992","3,542",0.34,31 Mar 2018,"41,080","5,518",0.54,30 Jun 2018,"169,755",-,-,"12,794","45,720","336,530",0,"43,633","2,137","153,689","46,495",0,0,"343,640",24.95,-,7.54,1.25,-
PWF CONSOLIDATED BERHAD,0.870,Main,200,06 Mar 2019,7:11 PM,31 Dec 2018,"90,135","3,304",1.91,30 Sep 2018,"84,696","3,020",2.04,31 Mar 2018,"91,135","6,034",3.52,31 Dec 2017,"91,816",167,0.81,31 Dec 2017,"346,543","47,391","28,693","17,794","7,612","337,820",0,"55,074","13,583","131,928","16,744",0,0,"299,491",9.03,6.66,5.13,0.9,0.23
POWER ROOT BERHAD,1.410,Main,906,06 Mar 2019,7:11 PM,31 Dec 2018,"81,870","7,038",1.80,30 Sep 2018,"87,293","7,016",1.80,30 Jun 2018,"89,246","9,261",2.80,31 Mar 2018,"80,581","-9,586",-3.00,31 Mar 2018,"424,316",-,-,"9,111",37,"75,285","5,971","69,644","51,422","146,804",104,0,0,"208,830",2.57,-,2.15,1.85,-
QES GROUP BERHAD,0.235,Ace,"18,604",06 Mar 2019,7:11 PM,31 Dec 2018,"59,196","3,763",0.45,30 Sep 2018,"49,719","4,345",0.53,30 Jun 2018,"46,501","5,290",0.67,31 Mar 2018,"37,683","1,414",0.23,31 Dec 2017,"190,939",-,-,"15,025","4,566","7,810",60,"17,178","46,118","63,027",0,502,0,"48,298",11.09,-,7.87,1.6,-
QUALITY CONCRETE HOLDINGS BHD,0.815,Main,0,06 Mar 2019,7:11 PM,31 Oct 2018,"29,215","-2,621",-3.54,31 Jul 2018,"40,861",130,0.57,30 Apr 2018,"26,403","-2,144",-3.46,31 Jan 2018,"27,083","-5,613",-9.45,31 Jan 2018,"104,960",-,-,"-13,773",0,"44,794","13,828","54,395","14,644","107,640","6,098",0,0,"116,031",-9.79,-,-13.12,1.17,-
RCE CAPITAL BHD,1.660,Main,"2,429",06 Mar 2019,7:11 PM,31 Dec 2018,"66,976","25,155",7.37,30 Sep 2018,"64,964","23,452",6.90,30 Jun 2018,"63,235","23,199",6.81,31 Mar 2018,"63,242","23,022",6.73,31 Mar 2018,"245,906",-,-,"88,681","47,333","6,213",0,0,"197,216","356,625","981,609",0,0,"519,273",75.94,-,36.06,1.07,-
RANHILL HOLDINGS BERHAD,1.320,Main,"2,461",06 Mar 2019,7:11 PM,31 Dec 2018,"418,161","2,861",-0.51,30 Sep 2018,"401,939","28,428",1.86,30 Jun 2018,"379,470","26,310",1.74,31 Mar 2018,"360,286","30,940",2.04,31 Dec 2017,"1,478,719","607,224","233,920","72,352","294,209","589,486","172,181","81,512","411,165","503,359","1,040,214","77,396",0,"778,143",20.08,9.5,4.89,1.72,0.43
QL RESOURCES BHD,6.810,Main,"1,057",06 Mar 2019,7:11 PM,31 Dec 2018,"978,858","75,290",4.26,30 Sep 2018,"920,255","61,486",3.73,30 Jun 2018,"816,175","43,656",2.70,31 Mar 2018,"784,427","46,098",2.86,31 Mar 2018,"3,263,270",-,-,"206,236","10,617","1,838,905","188,857","376,289","304,028","788,732","548,087","6,282",0,"1,890,931",9.31,-,6.32,1.59,-
RAPID SYNERGY BHD,5.750,Main,"27,526",06 Mar 2019,7:11 PM,31 Dec 2018,"8,023",66,0.06,30 Sep 2018,"7,098",35,0.03,30 Jun 2018,"5,475",7,0.01,31 Dec 2017,"8,619",940,0.88,31 Dec 2017,"31,430",-,-,"2,941",0,"3,139","13,217",631,"6,373","33,642","117,591",0,0,"141,525",43.7,-,9.36,0.44,-
RALCO CORPORATION BHD,0.220,Main,0,06 Mar 2019,7:11 PM,31 Dec 2018,"16,008","-4,056",-9.24,30 Sep 2018,"17,716","-2,465",-5.72,30 Jun 2018,"17,636","-2,207",-5.26,31 Mar 2018,"19,896","-1,319",-3.14,31 Dec 2017,"84,489",-,-,"-6,500",0,"29,694",0,"13,466","1,113","29,079",0,0,0,"29,719",-7.18,-,-7.69,1.17,-
REV ASIA BERHAD,0.200,Ace,"2,920",06 Mar 2019,7:11 PM,31 Dec 2018,0,281,0.21,30 Sep 2018,0,-218,-0.16,30 Jun 2018,0,-315,-0.23,31 Mar 2018,0,-333,-0.25,31 Dec 2017,"15,374",-,-,"56,905",0,0,0,0,"3,860",249,0,0,0,"7,148",356.9,-,370.14,29.71,-
REX INDUSTRY BHD,0.420,Main,20,06 Mar 2019,7:11 PM,31 Dec 2018,"38,379","-1,212",-0.49,30 Sep 2018,"32,807","-1,857",-0.75,30 Jun 2018,"28,269","-12,619",-5.12,31 Dec 2017,"34,341",-768,-0.31,30 Jun 2018,"130,324",-,-,"-15,153","7,889","63,023","1,554","49,371","20,481","45,675","3,998",0,0,"126,422",-10.4,-,-11.63,2.33,-
RGB INTERNATIONAL BHD,0.215,Main,"12,879",06 Mar 2019,7:11 PM,31 Dec 2018,"78,594","8,190",0.53,30 Sep 2018,"86,488","12,086",0.78,30 Jun 2018,"166,396","8,725",0.64,31 Mar 2018,"47,772","6,438",0.47,31 Dec 2017,"252,351",-,-,"30,278","2,674","105,159",162,"10,179","113,523","147,295","7,151",0,0,"230,894",16.19,-,12,1.82,-
RESINTECH BHD,0.340,Main,100,06 Mar 2019,7:11 PM,31 Dec 2018,"23,365",221,0.16,30 Sep 2018,"22,647",210,0.15,30 Jun 2018,"20,010",194,0.14,31 Mar 2018,"21,872",506,0.37,31 Mar 2018,"76,214",-,-,"1,879",0,"80,916","1,799","22,454","10,092","32,688","3,005",0,0,"132,735",6.79,-,2.47,2.17,-
REXIT BHD,0.600,Ace,80,06 Mar 2019,7:11 PM,31 Dec 2018,"5,159","1,730",0.95,30 Sep 2018,"5,245","1,794",1.01,30 Jun 2018,"5,362","2,254",1.26,31 Mar 2018,"5,158","1,825",1.02,30 Jun 2018,"21,835",-,-,"7,857",378,"4,761",45,0,"6,168","2,913",0,0,0,"36,053",47.03,-,35.98,11.56,-
REDTONE INTERNATIONAL BHD,0.215,Ace,"3,569",06 Mar 2019,7:11 PM,31 Oct 2018,"29,912","1,644",0.33,31 Jul 2018,"30,222","2,024",0.35,30 Apr 2018,"31,608","2,511",0.41,31 Jan 2018,"27,302",137,0.09,30 Apr 2018,"118,081",-,-,"5,969","37,437","19,914",0,437,"3,223","62,650","1,845",0,0,"142,547",7.3,-,5.06,2.29,-
RHONE MA HOLDINGS BERHAD,0.750,Main,220,06 Mar 2019,7:11 PM,31 Dec 2018,"30,634","2,287",1.38,30 Sep 2018,"33,346","2,308",1.39,30 Jun 2018,"29,318","2,206",1.33,31 Dec 2017,"36,202","3,583",2.15,31 Dec 2017,"137,488",-,-,"13,905",0,"34,029",0,"28,299","33,973","20,891","7,135",0,0,"102,428",12.64,-,10.11,4.64,-
RED SENA BERHAD,0.505,Main,0,06 Mar 2019,7:11 PM,30 Sep 2018,0,"-4,159",-0.42,30 Sep 2017,0,"-3,784",-0.38,30 Sep 2016,0,"-3,617",-0.42,31 Mar 2016,0,"-3,247",-0.70,30 Sep 2018,0,-,-,"-8,145",0,8,0,0,"398,147","402,196",0,0,0,"17,034",-,-,-,1.04,-
SALUTICA BERHAD,0.385,Main,"4,116",06 Mar 2019,7:11 PM,31 Dec 2018,"46,867",996,0.26,30 Sep 2018,"56,716","2,335",0.60,30 Jun 2018,"42,084",-989,-0.25,31 Dec 2017,"87,554","6,014",1.55,30 Jun 2018,"261,474",-,-,"11,362","1,044","41,446",119,"33,366","30,249","24,361",313,0,0,"167,073",5.82,-,4.35,6.16,-
SAM ENGINEERING & EQUIPMENT,8.140,Main,49,06 Mar 2019,7:11 PM,31 Dec 2018,"191,270","20,147",14.91,30 Sep 2018,"189,168","18,331",13.56,30 Jun 2018,"178,767","17,591",13.01,31 Mar 2018,"175,711","20,925",15.48,31 Mar 2018,"598,164",-,-,"63,144","14,640","240,654",0,"178,959","21,556","181,313","12,120",719,0,"461,073",12.25,-,10.56,2.22,-
SOUTHERN ACIDS (M) BHD,3.750,Main,0,06 Mar 2019,7:11 PM,31 Dec 2018,"146,647","7,335",3.81,30 Sep 2018,"153,042","10,634",6.06,30 Jun 2018,"157,950","7,925",4.95,31 Mar 2018,"196,738","7,598",6.13,31 Mar 2018,"763,104",-,-,"32,937",0,"171,470","51,414","70,866","174,381","67,372",0,"10,312",0,"637,022",6.74,-,4.32,5.04,-
SAMCHEM HOLDINGS BERHAD,0.615,Main,"3,216",06 Mar 2019,7:11 PM,31 Dec 2018,"273,156","4,665",1.66,30 Sep 2018,"279,967","4,724",1.55,30 Jun 2018,"279,265","5,208",1.66,31 Mar 2018,"262,828","8,966",2.98,31 Dec 2017,"937,523",-,-,"22,378",0,"36,396",919,"116,155","63,675","291,073",602,588,0,"141,643",4.56,-,2.39,1.36,-
SALCON BHD,0.250,Main,"4,190",06 Mar 2019,7:11 PM,31 Dec 2018,"43,751","2,987",0.89,30 Sep 2018,"35,274","4,611",0.49,30 Jun 2018,"30,015","-2,367",-0.13,31 Mar 2018,"21,380","-9,638",-1.14,31 Dec 2017,"206,493",-,-,"-23,822","21,831","61,953","92,456","142,054","133,811","130,737",658,0,0,"485,128",-13.91,-,-11.54,3.37,-
SANBUMI HOLDINGS BHD,0.330,Main,"4,824",06 Mar 2019,7:11 PM,31 Dec 2018,"4,500","-1,913",-0.85,30 Sep 2018,"5,071","-1,017",-0.45,30 Jun 2018,"8,043",-977,-0.43,31 Mar 2018,"10,152","-3,469",-1.53,31 Mar 2018,"48,149",-,-,"-4,930",0,"51,095",507,"28,167","8,401","9,451","3,576",0,0,"83,450",-8.79,-,-10.24,4.52,-
RHB BANK BERHAD,5.540,Main,"232,590",06 Mar 2019,7:11 PM,31 Dec 2018,"3,309,713","567,555",14.10,30 Sep 2018,"3,204,440","580,190",14.40,31 Mar 2018,"2,778,014","591,011",14.70,31 Dec 2017,"2,702,271","462,104",11.50,31 Dec 2015,-,"2,202,152","2,064,559","1,537,364",-,"671,092",-,-,5.36,-,-,-,-,-,-,-,-,-,-
SANICHI TECHNOLOGY BHD,0.055,Ace,"8,148",06 Mar 2019,7:11 PM,31 Dec 2018,"4,144","-10,687",-2.76,30 Sep 2018,"12,868","2,371",0.66,30 Jun 2018,"5,613","-6,925",-0.39,30 Jun 2018,"5,613","-6,925",-3.95,31 Dec 2017,"36,997",-,-,"-18,562",0,"41,568",0,"49,901","70,239","12,732",0,0,0,"190,909",-43.67,-,-50.17,12.95,-
RUBBEREX CORPORATION (M) BHD,0.440,Main,55,06 Mar 2019,7:11 PM,31 Dec 2018,"54,146",-91,-0.04,30 Sep 2018,"86,872","2,118",0.84,30 Jun 2018,"106,002","2,668",1.06,31 Dec 2017,"118,957","5,708",2.26,31 Dec 2017,"403,432","50,734","25,902","13,172","2,793","192,560","15,996","88,900","28,696","109,912","25,364",0,0,"276,589",4.93,4.99,3.26,1.82,0.16
RIMBUNAN SAWIT BHD,0.195,Main,"5,220",06 Mar 2019,7:11 PM,31 Dec 2018,"90,704","-110,396",-5.05,30 Sep 2018,"81,399","-18,771",-0.73,30 Jun 2018,"81,108","-14,650",-0.55,31 Mar 2018,"82,655","-17,593",-0.71,31 Dec 2017,"324,392",-,-,"-130,197","39,629","1,179,852","9,499","22,213","1,286","437,830","291,130",0,0,"632,081",-43.71,-,-40.14,0.55,-
SAPURA INDUSTRIAL BHD,0.750,Main,0,06 Mar 2019,7:11 PM,31 Oct 2018,"54,633",430,0.62,31 Jul 2018,"57,514","1,031",1.45,30 Apr 2018,"50,607",55,0.10,31 Jan 2018,"63,336","5,167",7.16,31 Jan 2018,"211,713",-,-,"3,077","3,610","92,105",0,"26,634","12,630","67,838","15,747","6,909",0,"103,498",2.51,-,1.45,1.51,-
RIVERVIEW RUBBER ESTATES BHD,3.020,Main,0,06 Mar 2019,7:11 PM,31 Dec 2018,"6,762",-859,-0.98,30 Sep 2018,"7,957","1,087",1.68,30 Jun 2018,"6,618","1,801",2.74,31 Mar 2018,"7,324","2,686",4.20,31 Dec 2017,"43,265","19,532","17,076","15,360","2,732","225,163","1,125",92,"48,082","15,477",0,248,0,"287,513",45.3,5.42,35.5,3.57,0
SAPURA ENERGY BERHAD,0.320,Main,"2,016,380",06 Mar 2019,7:11 PM,31 Oct 2018,"1,502,229","-31,653",-0.52,31 Jul 2018,"1,259,703","-125,952",-2.12,30 Apr 2018,"1,054,945","-136,544",-2.28,31 Jan 2018,"1,189,245","-2,286,396",-38.44,31 Jan 2018,"5,894,998",-,-,"-2,503,473","7,918,880","15,392,779","1,557,506","376,555","1,716,235","4,627,986","14,692,667","196,118",0,"9,450,365",-24.85,-,-42.47,1.02,-
SAPURA RESOURCES BHD,0.650,Main,11,06 Mar 2019,7:11 PM,31 Oct 2018,"12,588",-750,-0.54,31 Jul 2018,"11,278","-2,618",-1.88,30 Apr 2018,"11,896",-910,-0.65,31 Jan 2018,"12,601","15,446",11.06,31 Jan 2018,"50,264",-,-,"13,454",0,"45,229","153,260",18,"4,402","26,197",0,0,0,"462,358",24.68,-,26.77,6.74,-
SASBADI HOLDINGS BHD,0.225,Main,"3,865",06 Mar 2019,7:11 PM,30 Nov 2018,"30,508","4,382",1.05,31 Aug 2018,"12,775","-7,903",-1.89,31 May 2018,"19,095",525,0.13,28 Feb 2018,"26,493","4,933",1.18,31 Aug 2017,"93,053","18,552","13,159","8,044","26,217","44,306",371,"65,188","10,246","37,821","20,326",0,0,"145,383",14.3,5.39,8.64,3.58,0.17
SC ESTATE BUILDER BERHAD,0.025,Ace,"14,798",06 Mar 2019,7:11 PM,31 Oct 2018,"1,567",-913,-0.10,31 Jul 2018,"3,548",-283,-0.03,30 Apr 2018,857,-542,-0.06,31 Jan 2018,"7,656","2,884",0.33,31 Jan 2018,"21,527",-,-,"2,807",0,"2,167",0,0,"1,190","4,045",0,0,0,"33,391",8.81,-,13.04,8.72,-
SBC CORPORATION BHD,0.505,Main,627,06 Mar 2019,7:11 PM,31 Dec 2018,"49,423","7,137",2.33,30 Sep 2018,"33,715","5,642",2.50,30 Jun 2018,"17,669","-2,021",-0.76,31 Mar 2018,"24,401",-261,0.04,31 Mar 2018,"51,992",-,-,"2,112","9,495","5,995","110,380","265,015","14,457","141,531","34,088",0,0,"383,675",19.1,-,4.06,2.37,-
SARAWAK CABLE BERHAD,0.370,Main,"46,178",06 Mar 2019,7:11 PM,31 Dec 2018,"216,340","-30,319",-9.84,30 Sep 2018,"255,857","-2,523",-0.68,30 Jun 2018,"139,155","-5,734",-1.61,31 Mar 2018,"178,816","-1,626",-0.22,31 Dec 2017,"1,024,175","37,210","10,149","-34,392","88,500","448,628",0,"117,204","46,909","649,036","136,498",0,0,"285,206",0.6,-11.16,-3.36,0.74,0.56
SAUDEE GROUP BERHAD,0.305,Main,500,06 Mar 2019,7:11 PM,31 Oct 2018,"19,326",376,0.28,31 Jul 2018,"13,010","-4,206",-3.19,31 Jul 2018,"13,010","-4,206",-3.19,30 Apr 2018,"18,153",350,0.27,31 Jul 2018,"89,219",-,-,"-2,773",0,"43,602",316,"33,732","6,144","41,079","6,503",0,0,"61,425",-2.68,-,-3.11,1.52,-
SCC HOLDINGS BERHAD,0.505,Ace,40,06 Mar 2019,7:11 PM,31 Dec 2018,"16,807","2,635",1.87,30 Sep 2018,"20,056","2,134",1.51,30 Jun 2018,"15,221","1,454",1.03,31 Mar 2018,"14,075",801,0.57,31 Dec 2017,"63,685",-,-,"6,050",8,"4,896",68,"6,841","6,443","8,364",0,0,0,"40,130",13.46,-,9.5,5.23,-
SUNGEI BAGAN RUBBER CO (M) BHD,3.000,Main,25,06 Mar 2019,7:11 PM,31 Dec 2018,"3,493","-5,233",-7.89,30 Sep 2018,"2,348","-2,235",-3.37,30 Jun 2018,"4,981","-3,622",-5.46,31 Mar 2018,"2,322","3,615",5.45,30 Jun 2018,"14,193",-,-,"6,338",0,"130,892","328,759",26,"143,980","2,831",0,51,0,"632,955",45.55,-,44.66,51.55,-
SARAWAK CONSOLIDATED IND BHD,0.470,Main,534,06 Mar 2019,7:11 PM,31 Dec 2018,"18,355","-3,700",-4.31,30 Sep 2018,"19,923",697,0.81,30 Jun 2018,"16,102","-6,778",-7.89,31 Mar 2018,"21,421",213,0.25,31 Dec 2017,"68,784","5,327","1,576",-258,"5,648","43,077",0,"23,261","5,125","39,273","9,141",0,0,"58,856",2.43,-0.47,-0.38,1.47,0.22
SCANWOLF CORPORATION BHD,0.170,Main,0,06 Mar 2019,7:11 PM,31 Dec 2018,"13,130","-1,294",-1.34,30 Sep 2018,"10,841","-1,696",-1.76,30 Jun 2018,"12,484","-1,732",-1.82,31 Mar 2018,"12,490","-1,474",-1.68,30 Jun 2018,"62,466",-,-,535,0,"28,625","4,742","54,972","1,378","54,671","10,721",0,0,"43,283",4.65,-,0.86,1.25,-
SCICOM (MSC) BHD,1.210,Main,"1,110",06 Mar 2019,7:11 PM,31 Dec 2018,"39,709","6,109",1.73,30 Sep 2018,"38,659","5,135",1.46,30 Jun 2018,"37,636","4,070",1.16,31 Dec 2017,"43,010","9,330",2.65,30 Jun 2018,"165,289",-,-,"32,220","7,302","10,743",140,0,"52,272","12,133",0,0,0,"104,638",22.4,-,19.49,8.15,-
SCGM BHD,1.190,Main,"2,849",06 Mar 2019,7:11 PM,31 Oct 2018,"57,426","1,651",0.86,31 Jul 2018,"55,806","1,063",0.55,30 Apr 2018,"48,231",150,0.08,30 Apr 2018,"48,231",150,0.08,30 Apr 2018,"207,417",-,-,"16,395",0,"214,446",162,"30,534","4,353","84,622","42,959",0,0,"167,310",10,-,7.9,1.07,-
SUPERCOMNET TECHNOLOGIES BHD,0.840,Ace,"47,164",06 Mar 2019,7:11 PM,31 Dec 2018,"27,206","2,020",0.31,31 Dec 2018,"27,206","2,020",0.31,30 Sep 2018,"25,056","4,942",0.77,30 Jun 2018,"24,218","4,206",0.65,31 Dec 2017,"34,447",-,-,"2,590",0,"6,999","14,510","7,521","9,364","4,046",0,0,0,"44,866",5.9,-,7.52,6.72,-
SCOPE INDUSTRIES BHD,0.180,Ace,"14,618",06 Mar 2019,7:11 PM,31 Dec 2018,"3,841","-1,074",-0.19,30 Sep 2018,"4,650",-581,-0.08,30 Jun 2018,"4,860",299,0.05,31 Dec 2017,"5,446",382,0.04,30 Jun 2018,"22,291",-,-,"1,443","34,966","87,413","1,458","1,457","8,225","4,510",0,0,0,"117,225",8.04,-,6.47,2.71,-
SCOMI ENERGY SERVICES BHD,0.055,Main,"28,282",06 Mar 2019,7:11 PM,31 Dec 2018,"134,181","2,883",0.04,30 Sep 2018,"134,269","1,038",0.06,30 Jun 2018,"124,891",312,0.02,30 Jun 2018,"124,891",312,0.02,31 Mar 2018,"613,957",-,-,"-219,055","102,439","388,750","24,195","111,730","67,675","397,530","76,822","8,932",0,"536,705",-29.13,-,-35.68,1.17,-
SELANGOR DREDGING BHD,0.660,Main,118,06 Mar 2019,7:11 PM,31 Dec 2018,"68,767","4,646",1.09,30 Sep 2018,"71,898","8,276",1.94,30 Jun 2018,"54,794","2,395",0.56,31 Mar 2018,"63,507","-4,906",-1.15,31 Mar 2018,"217,494",-,-,"83,682",561,"224,358","197,774","384,208","75,065","394,472","151,581",0,0,"887,684",56.6,-,38.48,1.72,-
SCIENTEX BERHAD,8.400,Main,"14,476",06 Mar 2019,7:11 PM,31 Oct 2018,"713,639","55,342",10.98,31 Jul 2018,"733,154","89,233",18.06,30 Apr 2018,"600,179","62,498",12.50,31 Jan 2018,"634,752","68,908",14.05,31 Jul 2018,"2,626,767",-,-,"289,806","59,030","1,150,608","69,144","496,518","172,316","1,124,820","323,941","31,116",0,"1,833,566",14.18,-,11.03,1.06,-
SCH GROUP BERHAD,0.135,Ace,"1,170",06 Mar 2019,7:11 PM,30 Nov 2018,"34,074",61,0.01,31 Aug 2018,"6,048","-9,981",-2.13,31 May 2018,"9,183",761,0.18,28 Feb 2018,"6,721",-772,-0.19,31 Aug 2018,"33,248",-,-,"-8,057","28,756","65,357",0,"32,580","13,844","30,302","55,450",0,0,"84,011",-20.54,-,-24.23,2.75,-
SCOMI GROUP BHD,0.045,Main,"1,490",06 Mar 2019,7:11 PM,31 Dec 2018,"134,181","-19,789",-2.01,30 Sep 2018,"142,887","-27,805",-2.55,30 Jun 2018,"144,781","-25,636",-2.34,31 Mar 2018,"132,123","-198,377",-14.45,31 Mar 2018,"704,018",-,-,"-249,974","277,293","441,585","32,960","126,876","102,127","1,164,184","114,474","8,932",0,"707,358",-37.83,-,-35.51,1.07,-
SEAL INCORPORATED BHD,0.340,Main,150,06 Mar 2019,7:11 PM,31 Dec 2018,"23,117",789,5.98,30 Sep 2018,"31,149","13,417",5.66,30 Jun 2018,"22,273","2,678",1.13,31 Dec 2017,"23,831","3,444",1.55,30 Jun 2018,"135,573",-,-,"14,853","11,314","2,172",0,"28,048","32,619","100,983","22,750",0,0,"272,753",14.56,-,10.96,2.32,-
SEACERA GROUP BERHAD,0.380,Main,"627,983",06 Mar 2019,7:11 PM,31 Dec 2018,"6,885","-18,713",-4.68,30 Sep 2018,"3,732","-17,776",-4.73,30 Sep 2018,"3,732","-17,776",-4.73,30 Jun 2018,"4,584","-5,167",-1.45,31 Dec 2017,"40,472",-,-,"8,924","2,999","848,188",0,"22,891","27,971","156,057","5,722","1,048",0,"847,474",31.34,-,22.05,1.32,-
SEALINK INTERNATIONAL BHD,0.135,Main,"11,581",06 Mar 2019,7:11 PM,31 Dec 2018,"37,941","4,282",0.86,30 Sep 2018,"11,198","-11,738",-2.35,30 Jun 2018,"12,896","-1,122",-0.22,31 Dec 2017,"13,865","-11,564",-2.31,31 Dec 2017,"75,185","14,859","-43,158","-49,730","10,657","506,552","10,533","34,151","30,158","133,383","87,804",0,0,"385,135",-54.4,-11.85,-66.14,0.78,0.3
SEREMBAN ENGINEERING BERHAD,0.370,Main,"1,071",06 Mar 2019,7:11 PM,31 Dec 2018,"16,208",-250,-0.31,30 Sep 2018,"16,459",97,0.12,30 Jun 2018,"13,328","-5,978",-7.50,31 Mar 2018,"19,265","-1,659",-2.08,30 Jun 2018,"70,728",-,-,"-4,930",0,"38,867",0,"13,193",339,"53,216","11,794",0,0,"25,112",-3.28,-,-6.97,0.75,-
SEE HUP CONSOLIDATED BHD,0.920,Main,0,06 Mar 2019,7:11 PM,31 Dec 2018,"24,665",-886,-0.74,30 Sep 2018,"26,151","-1,344",-1.18,30 Jun 2018,"22,645","-1,525",-1.90,31 Mar 2018,"24,196",-170,-0.36,31 Mar 2018,"93,844",-,-,846,0,"34,228","3,009",137,"26,919","22,525","7,207",0,0,"88,992",2.67,-,0.9,2.8,-
SERBA DINAMIK HOLDINGS BERHAD,3.890,Main,"3,596",06 Mar 2019,7:11 PM,31 Dec 2018,"977,998","110,315",7.44,30 Sep 2018,"770,222","82,411",5.67,30 Jun 2018,"804,129","103,808",7.00,31 Dec 2017,"797,372","79,302",6.03,31 Dec 2017,"2,722,318","463,353","394,327","308,087","6,987","658,126","44,435","577,762","300,778","1,131,703","14,158",592,0,"1,387,729",14.07,27.95,11.32,1.63,0.28
